filename,label,source,notes,device_make,device_model,os_version
iphone_11_iOS_16-1.jpg,,Back_camera,,APPLE,IPHONE-11,16.1
iphone_11_iOS_18-7.heic,,Back_camera,,APPLE,IPHONE-11,18.7
iphone_11_iOS_18-7.jpg,,Back_camera,,APPLE,IPHONE-11,18.7
iphone_11_pro_iOS_18-7.heic,,Back_camera,,APPLE,IPHONE-11-PRO,18.7
iphone_12_promax_iOS_18-3-1.jpg,,Back_camera,,APPLE,IPHONE-12-PROMAX,18.3.1
iphone_13_iOS_18-7.heic,,Back_camera,,APPLE,IPHONE-13,18.7
iphone_14_promax_iOS_26-4-2.jpg,,Back_camera,,APPLE,IPHONE-14-PROMAX,26.4.2
iphone_15_iOS_17-6-1.heic,,Back_camera,,APPLE,IPHONE-15,17.6.1
iphone_15_iOS_17-6-1.jpg,,Back_camera,,APPLE,IPHONE-15,17.6.1
iphone_11_iOS_16-1.heic,,Selfie_camera,,APPLE,IPHONE-11,16.1
iphone_11_promax_iOS_18-6-2.heic,,Selfie_camera,,APPLE,IPHONE-11-PROMAX,18.6.2
iphone_15_iOS_18-7.heic,,Selfie_camera,,APPLE,IPHONE-15,18.7
vivo.jpg,,Back_camera,,Unknown,Unknown
01 (1).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,MAR-LX1A,MAR-L21A 9.1.0.317(C431E6R2P3)
01 (2).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,MAR-LX1A,MAR-L21A 9.1.0.317(C431E6R2P3)
01 (3).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,MAR-LX1A,MAR-L21A 9.1.0.317(C431E6R2P3)
01 (4).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,MAR-LX1A,MAR-L21A 9.1.0.317(C431E6R2P3)
01 (5).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,MAR-LX1A,MAR-L21A 9.1.0.317(C431E6R2P3)
01 (6).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,MAR-LX1A,MAR-L21A 9.1.0.317(C431E6R2P3)
01 (7).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,MAR-LX1A,MAR-L21A 9.1.0.317(C431E6R2P3)
01 (8).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,MAR-LX1A,MAR-L21A 9.1.0.317(C431E6R2P3)
01 (9.0).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,MAR-LX1A,MAR-L21A 9.1.0.317(C431E6R2P3)
01 (9.1).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,MAR-LX1A,MAR-L21A 9.1.0.317(C431E6R2P3)
01 (1).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L09,CLT-L09 9.1.0.372(C781E11R1P11)
01 (2).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L09,CLT-L09 9.1.0.372(C781E11R1P11)
01 (3).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L09,CLT-L09 9.1.0.372(C781E11R1P11)
01 (4).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L09,CLT-L09 9.1.0.372(C781E11R1P11)
01 (5).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L09,CLT-L09 9.1.0.372(C781E11R1P11)
01 (6).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L09,CLT-L09 9.1.0.372(C781E11R1P11)
01 (7).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L09,CLT-L09 9.1.0.372(C781E11R1P11)
01 (8).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L09,CLT-L09 9.1.0.372(C781E11R1P11)
01 (9.0).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L09,CLT-L09 9.1.0.372(C781E11R1P11)
01 (9.1).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L09,CLT-L09 9.1.0.372(C781E11R1P11)
01 (1).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L29,CLT-L29 9.1.0.387(C432E8R1P11)
01 (2).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L29,CLT-L29 9.1.0.387(C432E8R1P11)
01 (3).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L29,CLT-L29 9.1.0.387(C432E8R1P11)
01 (4).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L29,CLT-L29 9.1.0.387(C432E8R1P11)
01 (5).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L29,CLT-L29 9.1.0.387(C432E8R1P11)
01 (6).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L29,CLT-L29 9.1.0.387(C432E8R1P11)
01 (7).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L29,CLT-L29 9.1.0.387(C432E8R1P11)
01 (8).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L29,CLT-L29 9.1.0.387(C432E8R1P11)
01 (9.0).jpg,,Puclic_Source,Folder: PrnuModernDevices,HUAWEI,CLT-L29,CLT-L29 9.1.0.387(C432E8R1P11)
