filename,label,source,notes
00002portrait_00002_burst20170722111600.jpg,0,Dataset,OS: HDR+ 1.0.162691864z | Path: .
00002portrait_00002_burst494751013071025.jpg,0,Dataset,OS: HDR+ 1.0.160652830z | Path: .
00003sportrait_00003_burst20170916214045913.jpg,0,Dataset,OS: HDR+ 1.0.168898851z | Path: .
00100dportrait_00100_burst20170819214801828_cover.jpg,0,Dataset,OS: HDR+ 1.0.165786234z | Path: .
00100dportrait_00100_burst20170820184002747_cover.jpg,0,Dataset,OS: HDR+ 1.0.165786234z | Path: .
00100dportrait_00100_burst20170914121422905_cover (1).jpg,0,Dataset,OS: HDR+ 1.0.168694120z | Path: .
00100dportrait_00100_burst20170924123155135_cover.jpg,0,Dataset,OS: Google | Path: .
00100dportrait_00100_burst20170930171441158_cover.jpg,0,Dataset,OS: HDR+ 1.0.168876838z | Path: .
00100dportrait_00100_burst20171001184930679_cover.jpg,0,Dataset,OS: HDR+ 1.0.170380794z | Path: .
00100dportrait_00100_burst20171013233121374_cover.jpg,0,Dataset,OS: HDR+ 1.0.171970593z | Path: .
00100dportrait_00100_burst20171014154347382_cover.jpg,0,Dataset,OS: HDR+ 1.0.171970593z | Path: .
00100dportrait_00100_burst20171014234026160_cover.jpg,0,Dataset,OS: HDR+ 1.0.171970593z | Path: .
01 (1)_1.jpg,0,Dataset,OS: G960FXXS7DTB5 | Path: .
01 (1)_2.jpg,0,Dataset,OS: G965FXXS7CSK4 | Path: .
01 (1)_3.jpg,0,Dataset,OS: A705FXXU5BTC2 | Path: .
01 (1)_4.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (1)_5.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (1)_6.jpg,1,Dataset,OS: 13.3.1 | Path: .
01 (2)_1.jpg,0,Dataset,OS: G960FXXS7DTB5 | Path: .
01 (2)_2.jpg,0,Dataset,OS: G965FXXS7CSK4 | Path: .
01 (2)_3.jpg,0,Dataset,OS: A705FXXU5BTC2 | Path: .
01 (2)_4.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (2)_5.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (2)_6.jpg,1,Dataset,OS: 13.3.1 | Path: .
01 (3)_1.jpg,0,Dataset,OS: G960FXXS7DTB5 | Path: .
01 (3)_2.jpg,0,Dataset,OS: G965FXXS7CSK4 | Path: .
01 (3)_3.jpg,0,Dataset,OS: A705FXXU5BTC2 | Path: .
01 (3)_4.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (3)_5.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (3)_6.jpg,1,Dataset,OS: 13.3.1 | Path: .
01 (4)_1.jpg,0,Dataset,OS: G960FXXS7DTB5 | Path: .
01 (4)_2.jpg,0,Dataset,OS: G965FXXS7CSK4 | Path: .
01 (4)_3.jpg,0,Dataset,OS: A705FXXU5BTC2 | Path: .
01 (4)_4.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (4)_5.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (4)_6.jpg,1,Dataset,OS: 13.3.1 | Path: .
01 (5)_1.jpg,0,Dataset,OS: G960FXXS7DTB5 | Path: .
01 (5)_2.jpg,0,Dataset,OS: G965FXXS7CSK4 | Path: .
01 (5)_3.jpg,0,Dataset,OS: A705FXXU5BTC2 | Path: .
01 (5)_4.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (5)_5.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (5)_6.jpg,1,Dataset,OS: 13.3.1 | Path: .
01 (6)_1.jpg,0,Dataset,OS: G960FXXS7DTB5 | Path: .
01 (6)_2.jpg,0,Dataset,OS: G965FXXS7CSK4 | Path: .
01 (6)_3.jpg,0,Dataset,OS: A705FXXU5BTC2 | Path: .
01 (6)_4.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (6)_5.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (6)_6.jpg,1,Dataset,OS: 13.3.1 | Path: .
01 (7)_1.jpg,0,Dataset,OS: G960FXXS7DTB5 | Path: .
01 (7)_2.jpg,0,Dataset,OS: G965FXXS7CSK4 | Path: .
01 (7)_3.jpg,0,Dataset,OS: A705FXXU5BTC2 | Path: .
01 (7)_4.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (7)_5.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (7)_6.jpg,1,Dataset,OS: 13.3.1 | Path: .
01 (8)_1.jpg,0,Dataset,OS: G960FXXS7DTB5 | Path: .
01 (8)_2.jpg,0,Dataset,OS: G965FXXS7CSK4 | Path: .
01 (8)_3.jpg,0,Dataset,OS: A705FXXU5BTC2 | Path: .
01 (8)_4.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (8)_5.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (8)_6.jpg,1,Dataset,OS: 13.3.1 | Path: .
01 (9.0)_1.jpg,0,Dataset,OS: G960FXXS7DTB5 | Path: .
01 (9.0)_2.jpg,0,Dataset,OS: G965FXXS7CSK4 | Path: .
01 (9.0)_3.jpg,0,Dataset,OS: A705FXXU5BTC2 | Path: .
01 (9.0)_4.jpg,1,Dataset,OS: 13.4 | Path: .
01 (9.0)_5.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (9.0)_6.jpg,1,Dataset,OS: 13.3.1 | Path: .
