filename,exif_make,exif_model,custom_rendered,exif_prediction
Back_camera/iphone_11_iOS_16-1.jpg,,,,0
Back_camera/iphone_11_iOS_18-7.heic,,,,0
Back_camera/iphone_11_iOS_18-7.jpg,,,,0
Back_camera/iphone_11_pro_iOS_18-7.heic,,,,0
Back_camera/iphone_12_promax_iOS_18-3-1.jpg,,,,0
Back_camera/iphone_13_iOS_18-7.heic,,,,0
Back_camera/iphone_14_promax_iOS_26-4-2.jpg,,,,0
Back_camera/iphone_15_iOS_17-6-1.heic,,,,0
Back_camera/iphone_15_iOS_17-6-1.jpg,,,,0
Back_camera/vivo.jpg,,,,0
Puclic_Source/PrnuModernDevices/C01/bokeh/01 (1).jpg,HUAWEI,MAR-LX1A,1,0
Puclic_Source/PrnuModernDevices/C01/bokeh/01 (2).jpg,HUAWEI,MAR-LX1A,1,0
Puclic_Source/PrnuModernDevices/C01/bokeh/01 (3).jpg,HUAWEI,MAR-LX1A,1,0
Puclic_Source/PrnuModernDevices/C01/bokeh/01 (4).jpg,HUAWEI,MAR-LX1A,1,0
Puclic_Source/PrnuModernDevices/C01/bokeh/01 (5).jpg,HUAWEI,MAR-LX1A,1,0
Puclic_Source/PrnuModernDevices/C01/bokeh/01 (6).jpg,HUAWEI,MAR-LX1A,1,0
Puclic_Source/PrnuModernDevices/C01/bokeh/01 (7).jpg,HUAWEI,MAR-LX1A,1,0
Puclic_Source/PrnuModernDevices/C01/bokeh/01 (8).jpg,HUAWEI,MAR-LX1A,1,0
Puclic_Source/PrnuModernDevices/C01/bokeh/01 (9.0).jpg,HUAWEI,MAR-LX1A,1,0
Puclic_Source/PrnuModernDevices/C01/bokeh/01 (9.1).jpg,HUAWEI,MAR-LX1A,1,0
Puclic_Source/PrnuModernDevices/C02/bokeh/01 (1).jpg,HUAWEI,CLT-L09,1,0
Puclic_Source/PrnuModernDevices/C02/bokeh/01 (2).jpg,HUAWEI,CLT-L09,1,0
Puclic_Source/PrnuModernDevices/C02/bokeh/01 (3).jpg,HUAWEI,CLT-L09,1,0
Puclic_Source/PrnuModernDevices/C02/bokeh/01 (4).jpg,HUAWEI,CLT-L09,1,0
Puclic_Source/PrnuModernDevices/C02/bokeh/01 (5).jpg,HUAWEI,CLT-L09,1,0
Puclic_Source/PrnuModernDevices/C02/bokeh/01 (6).jpg,HUAWEI,CLT-L09,1,0
Puclic_Source/PrnuModernDevices/C02/bokeh/01 (7).jpg,HUAWEI,CLT-L09,1,0
Puclic_Source/PrnuModernDevices/C02/bokeh/01 (8).jpg,HUAWEI,CLT-L09,1,0
Puclic_Source/PrnuModernDevices/C02/bokeh/01 (9.0).jpg,HUAWEI,CLT-L09,1,0
Puclic_Source/PrnuModernDevices/C02/bokeh/01 (9.1).jpg,HUAWEI,CLT-L09,1,0
Puclic_Source/PrnuModernDevices/C03/bokeh/01 (1).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C03/bokeh/01 (2).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C03/bokeh/01 (3).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C03/bokeh/01 (4).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C03/bokeh/01 (5).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C03/bokeh/01 (6).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C03/bokeh/01 (7).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C03/bokeh/01 (8).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C03/bokeh/01 (9.0).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C03/bokeh/01 (9.1).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C04/bokeh/01 (1).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C04/bokeh/01 (2).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C04/bokeh/01 (3).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C04/bokeh/01 (4).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C04/bokeh/01 (5).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C04/bokeh/01 (6).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C04/bokeh/01 (7).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C04/bokeh/01 (8).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C04/bokeh/01 (9.0).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C04/bokeh/01 (9.1).jpg,HUAWEI,CLT-L29,1,0
Puclic_Source/PrnuModernDevices/C05/bokeh/01 (1).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C05/bokeh/01 (2).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C05/bokeh/01 (3).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C05/bokeh/01 (4).jpg,HUAWEI,POT-LX1,1,0
