filename,sha256,label,pred_label,rho,beta,bp_ref,rotation_k,latency_ms
00002portrait_00002_burst20170722111600.jpg,4c9b5dfc701c3cbd43734f39e0d2706d32059aa20c507de6bee734090614c49e,0,0,0.001083,0.0072,,,10245.7
00002portrait_00002_burst494751013071025.jpg,ea3ee7e759bd53b42a2d81121569c48ebce88e9fa8118b71fc8f3497adc74d67,0,0,0.001223,0.0072,,,7076.8
00003sportrait_00003_burst20170916214045913.jpg,6675cfe0145b176e80e089d6b8f9eee6f52f772872f715dfc35aa1ae6e2a835b,0,0,0.000939,0.0072,,,6860.8
00100dportrait_00100_burst20170819214801828_cover.jpg,59fa957f8856607efbebbd6ef83948ea1c7f1174f2dd5bd43b273f21daa529a3,0,0,0.001148,0.0072,,,6839.5
00100dportrait_00100_burst20170820184002747_cover.jpg,ffb7c48814966851a5754af7fbdce18adea6d2415ad2b38215d61e6bcf721252,0,0,0.000773,0.0072,,,8256.9
00100dportrait_00100_burst20170914121422905_cover (1).jpg,6f7dbe3b84e1bcdf1ef5dba1dd4e8ed7e9953ad62df766b5fa36ed43965b3e27,0,0,0.000864,0.0072,,,8473.4
00100dportrait_00100_burst20170924123155135_cover.jpg,62fb3ee0c29e8e65e0e035d779ca5881df4b11b34271b21d449b807f3815fdc3,0,0,0.001234,0.0072,,,6062.5
00100dportrait_00100_burst20170930171441158_cover.jpg,3b142f55fbf4741baf6aeb5ee474ab3808a50f72337e7d3bd0fe84eeef1e28fa,0,0,0.001551,0.0072,,,7390.5
00100dportrait_00100_burst20171001184930679_cover.jpg,6f065efc5d1e56e9c2855c6eb5f6635e08cf5267df949587bff0e1ede5a987ed,0,0,0.000944,0.0072,,,6730.6
00100dportrait_00100_burst20171013233121374_cover.jpg,7289730801de5a33594d94ff4246c375b03003b60f5ca61ad5be13a97253984f,0,0,0.001147,0.0072,,,6456.1
00100dportrait_00100_burst20171014154347382_cover.jpg,dc257c1f0e04c0626fbcf7dac92bc4108ada7cab7008c26c60c1757eebe36c98,0,0,0.001126,0.0072,,,7856.2
00100dportrait_00100_burst20171014234026160_cover.jpg,2d1e5f569b84dd0a526b44819073a4221c65c0e53eae9576dfb7044753b2165b,0,0,0.000725,0.0072,,,7066.8
01 (1)_1.jpg,2d1c5c164a544fdf05f76c162ca5f424bf67106a9533384d0017ef707f0ab4b4,0,0,0.001764,0.0072,,,8189.1
01 (1)_2.jpg,32665bc591d3748b13ed5537d858eb8e97144ddf20d8416cec28166481007201,0,0,0.001471,0.0072,,,7085.9
01 (1)_3.jpg,1d3b64cfa09e6fa1b69a7016223bbf64d24b8a72e1e2a2411600c94854f390d6,0,0,0.001204,0.0072,,,5644.1
