filename,sha256,label,pred_label,rho,beta,bp_ref,rotation_k,latency_ms
00002portrait_00002_burst20170722111600.jpg,eb205e372eac2c0e9612cc5f7c93bcea953f275c91074a8e01b6d724f93284f7,0,0,0.000519,0.0072,,,2196.1
00002portrait_00002_burst494751013071025.jpg,7bcd293854a8d8266112ee17a3c36f919801655d23dbf9845c2d8cb7445bb336,0,0,0.001235,0.0072,,,1720.1
00003sportrait_00003_burst20170916214045913.jpg,cea4236aa9cacbf5fc19699f4f15eecf57413eb29a3bd4c5df8a334d6694363a,0,0,0.001003,0.0072,,,1716.8
00100dportrait_00100_burst20170819214801828_cover.jpg,c75e2d8e26c57d694223e7fd34aaff71e6380bdc2533d4df73324369ed5b0f37,0,0,0.000486,0.0072,,,1765.8
00100dportrait_00100_burst20170820184002747_cover.jpg,3ef60f01df75f21f008ff0ac87c681bb45a21707ece9fd0114bfabd23452caea,0,0,0.000725,0.0072,,,1797.9
00100dportrait_00100_burst20170914121422905_cover (1).jpg,43704480699dce240147e7ca701f8fc351499c4aa427d547c7252563cc344947,0,0,0.000253,0.0072,,,2040.0
00100dportrait_00100_burst20170924123155135_cover.jpg,0d11684604aba0e72560b9497c20aae72564a15667acf8e40f4ca5f5517ddbaf,0,0,0.00122,0.0072,,,1483.2
00100dportrait_00100_burst20170930171441158_cover.jpg,8f23c4991387a2c4c7b7893b13a38d108152c276d8254549491fb9b0188e63be,0,0,0.001258,0.0072,,,1588.8
00100dportrait_00100_burst20171001184930679_cover.jpg,18ec8ef079ff44a0d51316ff9f1086c8fe40c3f9a306d51188425165b9bf216e,0,0,0.000802,0.0072,,,1192.3
00100dportrait_00100_burst20171013233121374_cover.jpg,26571b749a151fba6fb73d9597e5cfc5e2f472b6060deffbed5de69505c1d9cc,0,0,0.000712,0.0072,,,1721.1
00100dportrait_00100_burst20171014154347382_cover.jpg,93c54b1ac33fe9536d00b92d4207c2a0334ebbfa602ef926a75d4f7b3affe014,0,0,0.001006,0.0072,,,1800.6
00100dportrait_00100_burst20171014234026160_cover.jpg,c9c43dcbcae56d24d26595b2535ba086c87da70f33e31a3b384672363e8bbadf,0,0,0.00054,0.0072,,,1976.4
01 (1)_1.jpg,907973f2f2f5bf2bbb91cc88266b1f68c5f9f25b5859e6fa810dd5f33419bee9,0,0,0.00341,0.0072,,,1593.9
01 (1)_2.jpg,85c44330ba7007a478d79457280be6f0e35df4762969170d990ef651f4a6b893,0,0,0.00132,0.0072,,,1554.5
01 (1)_3.jpg,0dfb646e5386aebbaa5db880fd6bd516e14893063b2a4f05ba922d35bce86044,0,0,8.9e-05,0.0072,,,2140.3
01 (1)_4.jpg,4fed90023db43af7a03d1f76fa377141a9fc24104d8241e22fb6fc3e3b62dd03,1,1,0.076833,0.0072,BP04_12MP_NL_JPEG.mat,0,1821.9
01 (1)_5.jpg,cc7dc19adce2f6065087859120ca931e9395e1e86e5dbdcad5a0bc05983fa4dc,1,1,0.056463,0.0072,BP04_12MP_NL_JPEG.mat,0,1904.1
01 (1)_6.jpg,c4b00d9f4e85965644d17818924f227169d231c0d6aaf34b5eb9f5f63655bdbf,1,1,0.075057,0.0072,BP04_12MP_NL_JPEG.mat,0,1977.2
01 (2)_1.jpg,900142c035db6e93068a23ab0add472ad4f851f6d71a23db15ee372bdb141f70,0,0,0.000859,0.0072,,,2188.5
01 (2)_2.jpg,24905edd68146054c40ac9ec52194d3f31af76bfbdea1f6df49de3f7be97fee6,0,0,0.000808,0.0072,,,1999.4
01 (2)_3.jpg,42ffce2dcdc01f44fe9d022f8e333ab744625658a73bcd171cbf580d4c9c09e4,0,0,0.000762,0.0072,,,1978.1
01 (2)_4.jpg,e99d2589808d81911418ba5fcf2a4467caa2aacb5e47880a35df3a8594e39641,1,1,0.096211,0.0072,BP04_12MP_NL_JPEG.mat,0,1618.8
01 (2)_5.jpg,66ce663a4d5a95c0f6b4fb1f1cc830589b7078dfe68cc2ab93778f22a6611346,1,1,0.219173,0.0072,BP04_12MP_NL_JPEG.mat,0,1400.8
01 (2)_6.jpg,c54d2b578acdc32ca183d368413458b4812ffe4b81c7a5d095a49e65d55f100e,1,1,0.152358,0.0072,BP04_12MP_NL_JPEG.mat,0,1298.8
01 (3)_1.jpg,7207314a98ef603d8a53faafd753cab5037ff2574d6977a592c153eb86bec66e,0,0,0.002244,0.0072,,,1807.0
01 (3)_2.jpg,12ce2a0463f326a8c325aec888bd6d09de570ecc6fdffb56eb7fea5a8323dd2d,0,0,0.001156,0.0072,,,1794.7
01 (3)_3.jpg,9fda961dc13b456678b67792c9aabe29e559b0331c4127534b29c8edd1df86ba,0,0,0.000765,0.0072,,,1851.5
01 (3)_4.jpg,3bb538fbc2f2f98be3deaf4706aad51737c22c93c508ca37f700b1211050d8b5,1,1,0.074246,0.0072,BP04_12MP_NL_JPEG.mat,0,1643.4
