filename,sha256,size_bytes,collected_time,source,label,notes
00002portrait_00002_burst20170722111600.jpg,eb205e372eac2c0e9612cc5f7c93bcea953f275c91074a8e01b6d724f93284f7,1541434,2026-05-14T17:26:42.688998,Dataset,0,OS: HDR+ 1.0.162691864z | Path: .
00002portrait_00002_burst494751013071025.jpg,7bcd293854a8d8266112ee17a3c36f919801655d23dbf9845c2d8cb7445bb336,801015,2026-05-14T17:26:44.010388,Dataset,0,OS: HDR+ 1.0.160652830z | Path: .
00003sportrait_00003_burst20170916214045913.jpg,cea4236aa9cacbf5fc19699f4f15eecf57413eb29a3bd4c5df8a334d6694363a,2651841,2026-05-14T17:26:44.214541,Dataset,0,OS: HDR+ 1.0.168898851z | Path: .
00100dportrait_00100_burst20170819214801828_cover.jpg,c75e2d8e26c57d694223e7fd34aaff71e6380bdc2533d4df73324369ed5b0f37,361688,2026-05-14T17:26:42.883293,Dataset,0,OS: HDR+ 1.0.165786234z | Path: .
00100dportrait_00100_burst20170820184002747_cover.jpg,3ef60f01df75f21f008ff0ac87c681bb45a21707ece9fd0114bfabd23452caea,919906,2026-05-14T17:26:43.700633,Dataset,0,OS: HDR+ 1.0.165786234z | Path: .
00100dportrait_00100_burst20170914121422905_cover (1).jpg,43704480699dce240147e7ca701f8fc351499c4aa427d547c7252563cc344947,1353599,2026-05-14T17:26:44.663026,Dataset,0,OS: HDR+ 1.0.168694120z | Path: .
00100dportrait_00100_burst20170924123155135_cover.jpg,0d11684604aba0e72560b9497c20aae72564a15667acf8e40f4ca5f5517ddbaf,465425,2026-05-14T17:26:43.885125,Dataset,0,OS: Google | Path: .
00100dportrait_00100_burst20170930171441158_cover.jpg,8f23c4991387a2c4c7b7893b13a38d108152c276d8254549491fb9b0188e63be,1151891,2026-05-14T17:26:44.476548,Dataset,0,OS: HDR+ 1.0.168876838z | Path: .
00100dportrait_00100_burst20171001184930679_cover.jpg,18ec8ef079ff44a0d51316ff9f1086c8fe40c3f9a306d51188425165b9bf216e,1048682,2026-05-14T17:26:43.873120,Dataset,0,OS: HDR+ 1.0.170380794z | Path: .
00100dportrait_00100_burst20171013233121374_cover.jpg,26571b749a151fba6fb73d9597e5cfc5e2f472b6060deffbed5de69505c1d9cc,803144,2026-05-14T17:26:41.931154,Dataset,0,OS: HDR+ 1.0.171970593z | Path: .
00100dportrait_00100_burst20171014154347382_cover.jpg,93c54b1ac33fe9536d00b92d4207c2a0334ebbfa602ef926a75d4f7b3affe014,1260688,2026-05-14T17:26:42.730729,Dataset,0,OS: HDR+ 1.0.171970593z | Path: .
00100dportrait_00100_burst20171014234026160_cover.jpg,c9c43dcbcae56d24d26595b2535ba086c87da70f33e31a3b384672363e8bbadf,1616375,2026-05-14T17:26:43.039617,Dataset,0,OS: HDR+ 1.0.171970593z | Path: .
01 (1)_1.jpg,907973f2f2f5bf2bbb91cc88266b1f68c5f9f25b5859e6fa810dd5f33419bee9,13312298,2026-05-14T17:26:44.789064,Dataset,0,OS: G960FXXS7DTB5 | Path: .
01 (1)_2.jpg,85c44330ba7007a478d79457280be6f0e35df4762969170d990ef651f4a6b893,12527562,2026-05-14T17:26:43.685570,Dataset,0,OS: G965FXXS7CSK4 | Path: .
01 (1)_3.jpg,0dfb646e5386aebbaa5db880fd6bd516e14893063b2a4f05ba922d35bce86044,4902654,2026-05-14T17:26:41.682154,Dataset,0,OS: A705FXXU5BTC2 | Path: .
01 (1)_4.jpg,4fed90023db43af7a03d1f76fa377141a9fc24104d8241e22fb6fc3e3b62dd03,2669371,2026-05-14T17:26:41.915154,Dataset,1,OS: 13.4.1 | Path: .
01 (1)_5.jpg,cc7dc19adce2f6065087859120ca931e9395e1e86e5dbdcad5a0bc05983fa4dc,2792701,2026-05-14T17:26:41.584150,Dataset,1,OS: 13.4.1 | Path: .
01 (1)_6.jpg,c4b00d9f4e85965644d17818924f227169d231c0d6aaf34b5eb9f5f63655bdbf,2114774,2026-05-14T17:26:42.146162,Dataset,1,OS: 13.3.1 | Path: .
01 (2)_1.jpg,900142c035db6e93068a23ab0add472ad4f851f6d71a23db15ee372bdb141f70,14433517,2026-05-14T17:26:43.531792,Dataset,0,OS: G960FXXS7DTB5 | Path: .
01 (2)_2.jpg,24905edd68146054c40ac9ec52194d3f31af76bfbdea1f6df49de3f7be97fee6,13829979,2026-05-14T17:26:42.063152,Dataset,0,OS: G965FXXS7CSK4 | Path: .
01 (2)_3.jpg,42ffce2dcdc01f44fe9d022f8e333ab744625658a73bcd171cbf580d4c9c09e4,5399067,2026-05-14T17:26:41.443148,Dataset,0,OS: A705FXXU5BTC2 | Path: .
01 (2)_4.jpg,e99d2589808d81911418ba5fcf2a4467caa2aacb5e47880a35df3a8594e39641,2255962,2026-05-14T17:26:42.667911,Dataset,1,OS: 13.4.1 | Path: .
01 (2)_5.jpg,66ce663a4d5a95c0f6b4fb1f1cc830589b7078dfe68cc2ab93778f22a6611346,1295527,2026-05-14T17:26:41.028154,Dataset,1,OS: 13.4.1 | Path: .
01 (2)_6.jpg,c54d2b578acdc32ca183d368413458b4812ffe4b81c7a5d095a49e65d55f100e,1941258,2026-05-14T17:26:41.634148,Dataset,1,OS: 13.3.1 | Path: .
01 (3)_1.jpg,7207314a98ef603d8a53faafd753cab5037ff2574d6977a592c153eb86bec66e,13357923,2026-05-14T17:26:42.518921,Dataset,0,OS: G960FXXS7DTB5 | Path: .
01 (3)_2.jpg,12ce2a0463f326a8c325aec888bd6d09de570ecc6fdffb56eb7fea5a8323dd2d,11842924,2026-05-14T17:26:43.351189,Dataset,0,OS: G965FXXS7CSK4 | Path: .
01 (3)_3.jpg,9fda961dc13b456678b67792c9aabe29e559b0331c4127534b29c8edd1df86ba,5549923,2026-05-14T17:26:41.100152,Dataset,0,OS: A705FXXU5BTC2 | Path: .
01 (3)_4.jpg,3bb538fbc2f2f98be3deaf4706aad51737c22c93c508ca37f700b1211050d8b5,2457253,2026-05-14T17:26:44.132701,Dataset,1,OS: 13.4.1 | Path: .
01 (3)_5.jpg,e6be3770ea4a474c74daf0ce2d7bd85193c5e9764e578988d0ec9d03b0013c95,3320051,2026-05-14T17:26:41.477151,Dataset,1,OS: 13.4.1 | Path: .
01 (3)_6.jpg,143facb967d190496a3582edc4edc9156c8373af111d91fcc3aa094a715c52a2,2670813,2026-05-14T17:26:41.278150,Dataset,1,OS: 13.3.1 | Path: .
01 (4)_1.jpg,c0c75c8d53600cae015abf6393bde4db8ee5b882b05d9ac5006de1a15453e1b7,13911651,2026-05-14T17:26:42.872139,Dataset,0,OS: G960FXXS7DTB5 | Path: .
01 (4)_2.jpg,4860d7cd0af1abc31a7f2f3e136ccd2254a1563eb135765e49886d22863ee95e,11222879,2026-05-14T17:26:44.598516,Dataset,0,OS: G965FXXS7CSK4 | Path: .
01 (4)_3.jpg,095688d1ae9b7ebcaca25f00b3a954e1c1386b53011fb353d88e32d9aeb33b07,5271905,2026-05-14T17:26:41.010157,Dataset,0,OS: A705FXXU5BTC2 | Path: .
01 (4)_4.jpg,4c10da3c7c57c00e682b35b5c7cf13e3433606b3bbfabb2b16973c991863da66,2294710,2026-05-14T17:26:41.827154,Dataset,1,OS: 13.4.1 | Path: .
01 (4)_5.jpg,0b7030e1dcdfa039f058e353ad3372ec2c1d445438ff466879e26ed6c496d6a6,2891635,2026-05-14T17:26:43.562085,Dataset,1,OS: 13.4.1 | Path: .
01 (4)_6.jpg,fffa7762edc10277dc051f28282baf4ec0f0f06bcaed1620a80a3b850e3cf5b7,2379688,2026-05-14T17:26:41.524150,Dataset,1,OS: 13.3.1 | Path: .
01 (5)_1.jpg,0a3efe816f9b514dc939984be64177c077064eb85df53a80e72d5c55693f844a,11581147,2026-05-14T17:26:43.840112,Dataset,0,OS: G960FXXS7DTB5 | Path: .
01 (5)_2.jpg,a27912360edc10d37b80d8bb10e35e3e2ee8b5d85754bc446e5cd1ac526c4449,12976225,2026-05-14T17:26:43.017397,Dataset,0,OS: G965FXXS7CSK4 | Path: .
01 (5)_3.jpg,1ce780bdd08ac36614cc3201213acf2194fcab75ce408ead896f1194c0b2aa92,4871372,2026-05-14T17:26:41.250150,Dataset,0,OS: A705FXXU5BTC2 | Path: .
01 (5)_4.jpg,41b7f28cb65c98151225270c67705f841a472e004d084a35efa89a0e40ee39a3,2594552,2026-05-14T17:26:44.182131,Dataset,1,OS: 13.4.1 | Path: .
01 (5)_5.jpg,b9bb9e2f56159725afcf6c11c5d488a319231fb79bc6026b578c0b1e8fa20d8d,2197444,2026-05-14T17:26:41.205149,Dataset,1,OS: 13.4.1 | Path: .
01 (5)_6.jpg,9c9bf2f990df13b34f7109444715e4904a5899e78facb54b209ba8985c290f69,2763116,2026-05-14T17:26:41.553152,Dataset,1,OS: 13.3.1 | Path: .
01 (6)_1.jpg,072615aa399a6f071ac9432f72a7e00cf15bb46eb09919efab7276aac1905291,13641946,2026-05-14T17:26:44.353638,Dataset,0,OS: G960FXXS7DTB5 | Path: .
01 (6)_2.jpg,1e2eb6fc8fa11c17b460fad71e33930962d87dd161d569ae3eaac1a3d1ded021,10911399,2026-05-14T17:26:42.330153,Dataset,0,OS: G965FXXS7CSK4 | Path: .
01 (6)_3.jpg,ea1f61e7742da82164fa44c9151c8e42e7a2e8fe78601d3f0dfcad674498e87b,5037930,2026-05-14T17:26:41.350161,Dataset,0,OS: A705FXXU5BTC2 | Path: .
01 (6)_4.jpg,e4cef79da9a704f182b058dcc312a09e25dc7f57d95f451b80d753b063c777e5,1928593,2026-05-14T17:26:42.396756,Dataset,1,OS: 13.4.1 | Path: .
01 (6)_5.jpg,c03d637dfc1699b16d8defb067074d867b174bbf7565639b2b1caa348dee9bf1,3716647,2026-05-14T17:26:44.103709,Dataset,1,OS: 13.4.1 | Path: .
01 (6)_6.jpg,e9faa79538e049eccf5abf91a1a382e038be10dd268befc40140bcc90957ea2d,2896442,2026-05-14T17:26:41.180153,Dataset,1,OS: 13.3.1 | Path: .
01 (7)_1.jpg,f420e5e805522cd3bb1aa1c537f83fd23403ab7df3500fda8e07ea43f2a28893,14114416,2026-05-14T17:26:41.799160,Dataset,0,OS: G960FXXS7DTB5 | Path: .
01 (7)_2.jpg,91a9cdb17ed71f05bab546350146e9fbae9e75c07253f099d57e922e655fa4ce,9587159,2026-05-14T17:26:43.125233,Dataset,0,OS: G965FXXS7CSK4 | Path: .
01 (7)_3.jpg,767e2788559f1c2ab40ab809a4b00c1f0943a39271924385517e43edb9922a56,6005071,2026-05-14T17:26:40.962152,Dataset,0,OS: A705FXXU5BTC2 | Path: .
01 (7)_4.jpg,985b95d37638334789a4bff629b3177462e4a8ddf640b836ffeb7ae437360fe4,1892375,2026-05-14T17:26:43.724644,Dataset,1,OS: 13.4.1 | Path: .
01 (7)_5.jpg,30abc8abf1c1d582ed1565d1cec406e2b0e2beb39cb57a1b475a1294a64df535,3584951,2026-05-14T17:26:41.868151,Dataset,1,OS: 13.4.1 | Path: .
01 (7)_6.jpg,50f77b858afde01974501f7c69a925c663fcfa674155c7fe20af9e761677759c,1578193,2026-05-14T17:26:41.497150,Dataset,1,OS: 13.3.1 | Path: .
01 (8)_1.jpg,f14d7e54d0dff801c51d3cd2c05327dcc77e8ca1ce0a38e30bcd85dc442585b1,14169453,2026-05-14T17:26:42.641461,Dataset,0,OS: G960FXXS7DTB5 | Path: .
01 (8)_2.jpg,0f54879a607858f26bb6ffaf9c64935726525b7a87992733d257bbd51c3432ed,9747458,2026-05-14T17:26:43.994391,Dataset,0,OS: G965FXXS7CSK4 | Path: .
01 (8)_3.jpg,cc909ab05f8c78db93db9baa1dbb8400241bac8889191803315f8c4d05f4c246,5353772,2026-05-14T17:26:41.149152,Dataset,0,OS: A705FXXU5BTC2 | Path: .
01 (8)_4.jpg,2e3734948313aea92059e6ef91534052f2ee864abc2c468355bc51d0a48c89b6,2314317,2026-05-14T17:26:44.504548,Dataset,1,OS: 13.4.1 | Path: .
01 (8)_5.jpg,fad06ccdc0de53e22fc64edd4a915ccd97851560f568bd47a7bf298fa019c4df,2171740,2026-05-14T17:26:41.303152,Dataset,1,OS: 13.4.1 | Path: .
01 (8)_6.jpg,c3377eb3ce967294292e330e82d9cec512db316afaf554089571a7e23f807be8,2144716,2026-05-14T17:26:41.609155,Dataset,1,OS: 13.3.1 | Path: .
01 (9.0)_1.jpg,e1f709076e6ea208fcf6c0e2f2dfb3e12060f8a15228ab73325d99ed250d9528,13693810,2026-05-14T17:26:43.250465,Dataset,0,OS: G960FXXS7DTB5 | Path: .
