filename,image_size,sha256,label,pred_label,rho,beta,bp_ref,rotation_k,latency_ms
00002PORTRAIT_00002_BURST20170722111600.jpg,1512x2016,264e12e4602b51cdd4e8d3738f2f782c6df5154e865a26c081dc3c309caa5ee9,,,0.001078,0.0072,BP02_12MP_NL_JPEG.mat,1,4010.2
00002PORTRAIT_00002_BURST494751013071025.jpg,1512x2016,fb764da304b94029f2e959edf464f730979811510e7c55c37a66d91636f927df,,,0.001322,0.0072,BP08_12MP_NL_JPEG.mat,1,3354.9
00003sPORTRAIT_00003_BURST20170916214045913.jpg,1512x2016,92089e9d8377a635415e44163e51d484bf194319009fa99202e74f2e760f2d9e,,,0.001259,0.0072,BP01_12MP_NL_JPEG.mat,3,3598.6
00100dPORTRAIT_00100_BURST20170819214801828_COVER.jpg,1512x2016,4d45b07abcc0059285204b1017d7f18f66c191bb69b7ed1d19f4fb86aa21e033,,,0.001306,0.0072,BP02_12MP_NL_JPEG.mat,1,3905.0
00100dPORTRAIT_00100_BURST20170820184002747_COVER.jpg,1512x2016,ce41a54fe5172183432b884523466f1ddcd5697231422418aa2f096077c7c704,,,0.001762,0.0072,BP04_12MP_NL_JPEG.mat,2,4190.8
00100dPORTRAIT_00100_BURST20170914121422905_COVER (1).jpg,1512x2016,3078ba5c370b9f18e551fc49bc5ab4d468c067be475818af9117fc1f655a2418,,,0.001282,0.0072,BP05_12MP_SLM_HEIC.mat,2,4192.3
00100dPORTRAIT_00100_BURST20170924123155135_COVER.jpg,2016x1512,2ecd181fda4901040d12a67a17c99aef0be9234750828fabe9a50f9440c66c45,,,0.00117,0.0072,BP06_12MP_SLM_HEIC.mat,1,4391.4
00100dPORTRAIT_00100_BURST20170930171441158_COVER.jpg,1512x2016,ae1afdbc32724108236590bdd45de12c741d75bfbfed91d0eb21bed90f5bdc68,,,0.001334,0.0072,BP02_12MP_NL_JPEG.mat,0,4253.5
00100dPORTRAIT_00100_BURST20171001184930679_COVER.jpg,2016x1512,b6337138def8196251baa69a0d110c018cf3111b22eae6d1e6f302620ca6b8cc,,,0.001037,0.0072,BP07_12MP_SLM_HEIC.mat,2,4952.6
00100dPORTRAIT_00100_BURST20171013233121374_COVER.jpg,1512x2016,3ada0b114977892b214cf708d2af9f7f3b4488c7a4203d52168fe25e60d8fb6e,,,0.001576,0.0072,BP05_12MP_SLM_HEIC.mat,0,3502.1
00100dPORTRAIT_00100_BURST20171014154347382_COVER.jpg,1512x2016,1ce9b89103ec784b9072b9896afbc79c57617f5f839f07dc2477f32019bca03c,,,0.001538,0.0072,BP06_12MP_NL_HEIC.mat,3,4436.3
00100dPORTRAIT_00100_BURST20171014234026160_COVER.jpg,1512x2016,621846306bf1c864a99c5af7436a0c0b67ab2428c43ccd394eccb4b36d05fa13,,,0.000897,0.0072,BP08_12MP_NL_JPEG.mat,3,4187.5
01 (1).jpg,1512x2016,abcf2ef62caa88a9d8c83a0c1418a675070f34f57200d49b7742c2de45fef6b9,,,0.001567,0.0072,BP06_12MP_NL_HEIC.mat,3,3324.1
01 (1)_1.jpg,1512x2016,5770d8bd7a6025875d0e0ee60f7e6200c307a32de381f7bdca829fa50ef9f9b0,0,,0.003015,0.0072,BP03_12MP_NL_JPEG.mat,1,3860.4
01 (1)_2.jpg,1512x2016,a35d3e7e4f674ee95e310e2d2c235beac01c28f687fba70deb64b64556095b1a,0,,0.00252,0.0072,BP05_12MP_SLM_HEIC.mat,3,3621.1
01 (1)_3.jpg,1512x2016,e26058ee166bd43dec80e13c4bc4b1a4b4a5acfe1617b8721ab45e371281d340,0,,0.001946,0.0072,BP06_12MP_SLM_HEIC.mat,2,3386.4
01 (1)_4.jpg,2016x1512,1075c5968b262bd92f94af4b246e696920cd98fa3e0de133388086cb253903ef,1,,0.046249,0.0072,BP04_12MP_NL_JPEG.mat,0,3195.1
01 (1)_5.jpg,2016x1512,5578a7c6d52e98ca81ddb873f0fd5596a16f0ee057febc79f40816f71aaaf0fa,1,,0.041891,0.0072,BP04_12MP_NL_JPEG.mat,0,3372.0
01 (1)_6.jpg,2016x1512,39c9295e7cf2180327b970ac667f2d957f2db57326ff40bf7f2559a2add6110b,1,,0.042016,0.0072,BP04_12MP_NL_JPEG.mat,0,3241.7
01 (2).jpg,1512x2016,1f15323112df925b270bdea15806882d5de8c4015be9acea3ae2e721a2900e0a,,,0.00194,0.0072,BP04_12MP_NL_JPEG.mat,1,4987.3
01 (2)_1.jpg,1512x2016,5d2394b95fe13081a1884333c5def69d9bd5dad6e7eed91dbd645ebc1cab6c73,0,,0.001192,0.0072,BP05_12MP_SLM_HEIC.mat,3,4561.8
01 (2)_2.jpg,1512x2016,1797e1e5c65672b19864fcd4c7995ac19ba2fe98cc2c45dcc59ada17e21b5815,0,,0.002258,0.0072,BP05_12MP_SLM_HEIC.mat,3,3363.5
01 (2)_3.jpg,1512x2016,b8309179609cd418f7e3dcf479fa62c539bdf9b1ec80149679c3f00c33a348a6,0,,0.001294,0.0072,BP06_12MP_SLM_HEIC.mat,3,3362.2
01 (2)_4.jpg,2016x1512,7305526b9835539e9b60e307c93eb0184accebfff930e736e5abe0acd0793567,1,,0.069471,0.0072,BP04_12MP_NL_JPEG.mat,0,4307.9
01 (2)_5.jpg,2016x1512,1084087809e9e5f29449c8ecd93e2fb99807a285d8a47a62d8cfdba483824a37,1,,0.149408,0.0072,BP04_12MP_NL_JPEG.mat,0,4657.6
01 (2)_6.jpg,2016x1512,60dec2f76c3cf20fbb03f8b32a89b8b6e444e8470ad19e268798a706b0ec35af,1,,0.103145,0.0072,BP04_12MP_NL_JPEG.mat,0,3937.8
01 (3).jpg,1512x2016,9dca6353b54a9acba677dda303de26cdc3a775b877cdca3ed1d8f85be310ca8b,,,0.001337,0.0072,BP06_12MP_NL_HEIC.mat,2,4727.9
01 (3)_1.jpg,1512x2016,e6bbf88160caca87c911a4adbc68750f24f7ea53d56c7ff08bef30def98cb86e,0,,0.001019,0.0072,BP03_12MP_NL_JPEG.mat,1,3679.3
01 (3)_2.jpg,1512x2016,cf6c8bc4de163ea0d90d045a2432f341ca05de8c92e9a8cbc062824df1b14b40,0,,0.001314,0.0072,BP08_12MP_NL_JPEG.mat,2,3758.8
01 (3)_3.jpg,1512x2016,eacf0c9713d495090532f6b322289e83f35479048e43013d4ef313b1263d7586,0,,0.001258,0.0072,BP05_12MP_SLM_HEIC.mat,3,3401.5
01 (3)_4.jpg,2016x1512,56872b036b9c564fc06a4155e82ae035b106d492306a6678ee998bf06a4987e0,1,,0.046325,0.0072,BP04_12MP_NL_JPEG.mat,0,3275.1
01 (3)_5.jpg,2016x1512,dee9c8f42e13471dd7ef93ea4724744a755fe0fd916b27147069328dc16dc755,1,,0.005498,0.0072,BP04_12MP_NL_JPEG.mat,0,4306.1
01 (3)_6.jpg,2016x1512,c30fe4f9689090fed11b998dcce657fd4deb2dd49e7c36d4d2c3d3fe8a2fc7fd,1,,0.033147,0.0072,BP04_12MP_NL_JPEG.mat,0,4025.5
01 (4).jpg,1512x2016,60f6f14bf360b933d6431d11c59330e2a4977f335f5b2dc70dfff8c1bdbe7e12,,,0.001762,0.0072,BP06_12MP_NL_HEIC.mat,2,3641.4
01 (4)_1.jpg,1512x2016,98b1766539ac0afc712e6400440ae2a4b9ad11a27d54114b7359f6096924b9ea,0,,0.001311,0.0072,BP06_12MP_SLM_HEIC.mat,3,3038.6
01 (4)_2.jpg,1512x2016,d453b8f4d0141efac418a2bbb52aef4bc564d316006992390ee6dfd7710a44ee,0,,0.001725,0.0072,BP06_12MP_SLM_HEIC.mat,0,5310.4
01 (4)_3.jpg,1512x2016,1cb02d400e64491d1e797fb49d5b6e8e0ffe85615b17f81e6e70a2b85d16b34f,0,,0.001189,0.0072,BP03_12MP_NL_JPEG.mat,1,4155.4
01 (4)_4.jpg,2016x1512,3e40f1087410d9f90b6184fe93a3f69da09d70efebc3e96d4f65b2811eb56654,1,,0.113874,0.0072,BP04_12MP_NL_JPEG.mat,0,3522.0
01 (4)_5.jpg,2016x1512,c41f8cdecd76aeeb6fa94679ff25588baef00db912ae4b72a3a145b823c798cb,1,,0.005515,0.0072,BP04_12MP_NL_JPEG.mat,0,3365.0
01 (4)_6.jpg,2016x1512,441491b8e2fdccdb53272b694abd9fcdc5f545e95c4a13c8b0ee34c7b5aedf33,1,,0.064297,0.0072,BP04_12MP_NL_JPEG.mat,0,4543.4
01 (5).jpg,1512x2016,8b2c0f1991134ab042ec8b9cd804eddb1884d092362bfa0da6df890a840b2a50,,,0.00151,0.0072,BP06_12MP_NL_HEIC.mat,2,4036.5
01 (5)_1.jpg,1512x2016,142451e0dedd0597a8ce3b8344e3e0f75c53d81bb741e9254baec047f8b5d2bc,0,,0.001635,0.0072,BP04_12MP_NL_JPEG.mat,3,3372.1
01 (5)_2.jpg,1512x2016,00d70d34b07193f062bb3bf2b94d97e83a9bb73b8a5889bb0c5bf5476e17f79d,0,,0.001885,0.0072,BP06_12MP_NL_HEIC.mat,3,3715.9
01 (5)_3.jpg,1512x2016,a325f0db0371feb866d0f66419672c95923e1d50e9c0525700cbf05f5ad90516,0,,0.002694,0.0072,BP03_12MP_NL_JPEG.mat,2,5281.6
01 (5)_4.jpg,2016x1512,e6435859f3867af8ba93980975bd0ff5d676fc140252e693a7e1bfdcd6e3ac41,1,,0.047573,0.0072,BP04_12MP_NL_JPEG.mat,0,4008.3
01 (5)_5.jpg,2016x1512,23389eda5b2f13d57c643987259dc3a0cc46fabf612d2c9c32c4e336e105e408,1,,0.013899,0.0072,BP04_12MP_NL_JPEG.mat,0,4253.4
01 (5)_6.jpg,2016x1512,c56fccb83870b31dfc08613bd6a4bb75696986a0d1af676a2542258c0798ba89,1,,0.049257,0.0072,BP04_12MP_NL_JPEG.mat,0,4411.9
01 (6).jpg,1512x2016,8e0f60fcff5c2e184d0cce46063cc6cde742ffbd54d6f8efb29cbf371cedc413,,,0.001767,0.0072,BP03_12MP_NL_JPEG.mat,0,4931.7
01 (6)_1.jpg,1512x2016,28d9fb17a8b4db7fdd3c94635d0ece8771c4f3ab2372c9341d10e9bad835c729,0,,0.001727,0.0072,BP08_12MP_NL_JPEG.mat,0,3782.4
