condition,filter,mode,n_images,n_positive,beta,accuracy,precision,recall_tpr,fpr,f1,roc_auc,avg_latency_ms,calibrated_beta,calibrated_accuracy,calibrated_precision,calibrated_recall_tpr,calibrated_fpr,calibrated_f1,rho_mean,rho_std,rho_portrait_mean,rho_nonportrait_mean
exif_stripped,box,hard_decision,1260,1260,0.0072,0.9802,1.0,0.9802,0.0,0.99,,3293.7,,,,,,,0.14899,0.144897,0.14899,
exif_stripped,gauss1,hard_decision,1260,1260,0.0072,0.9698,1.0,0.9698,0.0,0.9847,,3093.2,,,,,,,0.138859,0.137394,0.138859,
exif_stripped,gauss2,hard_decision,1260,1260,0.0072,0.9825,1.0,0.9825,0.0,0.9912,,3235.5,,,,,,,0.143833,0.138441,0.143833,
jpeg_q60,box,hard_decision,1260,1260,0.0072,0.8865,1.0,0.8865,0.0,0.9398,,3064.1,,,,,,,0.068421,0.085328,0.068421,
jpeg_q60,gauss1,hard_decision,1260,1260,0.0072,0.8651,1.0,0.8651,0.0,0.9277,,3188.5,,,,,,,0.06315,0.078893,0.06315,
jpeg_q60,gauss2,hard_decision,1260,1260,0.0072,0.9119,1.0,0.9119,0.0,0.9539,,3296.8,,,,,,,0.06863,0.084224,0.06863,
jpeg_q80,box,hard_decision,1260,1260,0.0072,0.9587,1.0,0.9587,0.0,0.9789,,3195.7,,,,,,,0.116564,0.120633,0.116564,
jpeg_q80,gauss1,hard_decision,1260,1260,0.0072,0.9468,1.0,0.9468,0.0,0.9727,,3450.8,,,,,,,0.107803,0.111883,0.107803,
jpeg_q80,gauss2,hard_decision,1260,1260,0.0072,0.9683,1.0,0.9683,0.0,0.9839,,3208.0,,,,,,,0.115141,0.118079,0.115141,
jpeg_q95,box,hard_decision,1260,1260,0.0072,0.9802,1.0,0.9802,0.0,0.99,,3097.3,,,,,,,0.14899,0.144897,0.14899,
jpeg_q95,gauss1,hard_decision,1260,1260,0.0072,0.9698,1.0,0.9698,0.0,0.9847,,3044.0,,,,,,,0.138859,0.137394,0.138859,
jpeg_q95,gauss2,hard_decision,1260,1260,0.0072,0.9825,1.0,0.9825,0.0,0.9912,,3119.1,,,,,,,0.143833,0.138441,0.143833,
original,box,hard_decision,1144,1144,0.0072,0.9781,1.0,0.9781,0.0,0.989,,3238.3,,,,,,,0.155884,0.151296,0.155884,
original,gauss1,hard_decision,1144,1144,0.0072,0.9738,1.0,0.9738,0.0,0.9867,,3182.5,,,,,,,0.146815,0.144927,0.146815,
original,gauss2,hard_decision,1144,1144,0.0072,0.9808,1.0,0.9808,0.0,0.9903,,3264.2,,,,,,,0.148248,0.143188,0.148248,
resize_025,box,hard_decision,1260,1260,0.0072,0.7905,1.0,0.7905,0.0,0.883,,964.4,,,,,,,0.030162,0.033172,0.030162,
resize_025,gauss1,hard_decision,1260,1260,0.0072,0.8127,1.0,0.8127,0.0,0.8967,,1059.7,,,,,,,0.032905,0.036171,0.032905,
resize_025,gauss2,hard_decision,1260,1260,0.0072,0.7524,1.0,0.7524,0.0,0.8587,,1066.8,,,,,,,0.026943,0.02982,0.026943,
resize_05,box,hard_decision,1260,1260,0.0072,0.969,1.0,0.969,0.0,0.9843,,1883.6,,,,,,,0.094968,0.092491,0.094968,
resize_05,gauss1,hard_decision,1260,1260,0.0072,0.9722,1.0,0.9722,0.0,0.9859,,1806.1,,,,,,,0.099457,0.096471,0.099457,
resize_05,gauss2,hard_decision,1260,1260,0.0072,0.9619,1.0,0.9619,0.0,0.9806,,1946.1,,,,,,,0.082852,0.082381,0.082852,
