filename,image_size,sha256,label,pred_label,rho,beta,filter_type,bp_ref,rotation_k,latency_ms
00002portrait_00002_burst20170722111600.jpg,1512x2016,264e12e4602b51cdd4e8d3738f2f782c6df5154e865a26c081dc3c309caa5ee9,0,,0.001078,0.0072,box,BP02_12MP_NL_JPEG.mat,1,3466.2
00002portrait_00002_burst494751013071025.jpg,1512x2016,fb764da304b94029f2e959edf464f730979811510e7c55c37a66d91636f927df,0,,0.001322,0.0072,box,BP08_12MP_NL_JPEG.mat,1,2969.5
00003sportrait_00003_burst20170916214045913.jpg,1512x2016,92089e9d8377a635415e44163e51d484bf194319009fa99202e74f2e760f2d9e,0,,0.001259,0.0072,box,BP01_12MP_NL_JPEG.mat,3,3122.6
00100dportrait_00100_burst20170819214801828_cover.jpg,1512x2016,4d45b07abcc0059285204b1017d7f18f66c191bb69b7ed1d19f4fb86aa21e033,0,,0.001306,0.0072,box,BP02_12MP_NL_JPEG.mat,1,3148.5
00100dportrait_00100_burst20170820184002747_cover.jpg,1512x2016,ce41a54fe5172183432b884523466f1ddcd5697231422418aa2f096077c7c704,0,,0.001762,0.0072,box,BP04_12MP_NL_JPEG.mat,2,2696.8
00100dportrait_00100_burst20170914121422905_cover (1).jpg,1512x2016,3078ba5c370b9f18e551fc49bc5ab4d468c067be475818af9117fc1f655a2418,0,,0.001282,0.0072,box,BP05_12MP_SLM_HEIC.mat,2,3027.9
00100dportrait_00100_burst20170924123155135_cover.jpg,2016x1512,2ecd181fda4901040d12a67a17c99aef0be9234750828fabe9a50f9440c66c45,0,,0.00117,0.0072,box,BP06_12MP_SLM_HEIC.mat,1,2901.6
00100dportrait_00100_burst20170930171441158_cover.jpg,1512x2016,ae1afdbc32724108236590bdd45de12c741d75bfbfed91d0eb21bed90f5bdc68,0,,0.001334,0.0072,box,BP02_12MP_NL_JPEG.mat,0,2645.0
00100dportrait_00100_burst20171001184930679_cover.jpg,2016x1512,b6337138def8196251baa69a0d110c018cf3111b22eae6d1e6f302620ca6b8cc,0,,0.001037,0.0072,box,BP07_12MP_SLM_HEIC.mat,2,2845.6
00100dportrait_00100_burst20171013233121374_cover.jpg,1512x2016,3ada0b114977892b214cf708d2af9f7f3b4488c7a4203d52168fe25e60d8fb6e,0,,0.001576,0.0072,box,BP05_12MP_SLM_HEIC.mat,0,2944.1
00100dportrait_00100_burst20171014154347382_cover.jpg,1512x2016,1ce9b89103ec784b9072b9896afbc79c57617f5f839f07dc2477f32019bca03c,0,,0.001538,0.0072,box,BP06_12MP_NL_HEIC.mat,3,2868.0
00100dportrait_00100_burst20171014234026160_cover.jpg,1512x2016,621846306bf1c864a99c5af7436a0c0b67ab2428c43ccd394eccb4b36d05fa13,0,,0.000897,0.0072,box,BP08_12MP_NL_JPEG.mat,3,2787.6
01 (1)_1.jpg,1512x2016,5770d8bd7a6025875d0e0ee60f7e6200c307a32de381f7bdca829fa50ef9f9b0,0,,0.003015,0.0072,box,BP03_12MP_NL_JPEG.mat,1,2566.1
01 (1)_2.jpg,1512x2016,a35d3e7e4f674ee95e310e2d2c235beac01c28f687fba70deb64b64556095b1a,0,,0.00252,0.0072,box,BP05_12MP_SLM_HEIC.mat,3,2943.1
01 (1)_3.jpg,1512x2016,e26058ee166bd43dec80e13c4bc4b1a4b4a5acfe1617b8721ab45e371281d340,0,,0.001946,0.0072,box,BP06_12MP_SLM_HEIC.mat,2,2808.1
01 (1)_4.jpg,2016x1512,1075c5968b262bd92f94af4b246e696920cd98fa3e0de133388086cb253903ef,1,,0.046249,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2592.3
01 (1)_5.jpg,2016x1512,5578a7c6d52e98ca81ddb873f0fd5596a16f0ee057febc79f40816f71aaaf0fa,1,,0.041891,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2919.1
01 (1)_6.jpg,2016x1512,39c9295e7cf2180327b970ac667f2d957f2db57326ff40bf7f2559a2add6110b,1,,0.042016,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2630.8
01 (2)_1.jpg,1512x2016,5d2394b95fe13081a1884333c5def69d9bd5dad6e7eed91dbd645ebc1cab6c73,0,,0.001192,0.0072,box,BP05_12MP_SLM_HEIC.mat,3,3017.2
01 (2)_2.jpg,1512x2016,1797e1e5c65672b19864fcd4c7995ac19ba2fe98cc2c45dcc59ada17e21b5815,0,,0.002258,0.0072,box,BP05_12MP_SLM_HEIC.mat,3,2865.5
01 (2)_3.jpg,1512x2016,b8309179609cd418f7e3dcf479fa62c539bdf9b1ec80149679c3f00c33a348a6,0,,0.001294,0.0072,box,BP06_12MP_SLM_HEIC.mat,3,2746.0
01 (2)_4.jpg,2016x1512,7305526b9835539e9b60e307c93eb0184accebfff930e736e5abe0acd0793567,1,,0.069471,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2639.2
01 (2)_5.jpg,2016x1512,1084087809e9e5f29449c8ecd93e2fb99807a285d8a47a62d8cfdba483824a37,1,,0.149408,0.0072,box,BP04_12MP_NL_JPEG.mat,0,3047.6
01 (2)_6.jpg,2016x1512,60dec2f76c3cf20fbb03f8b32a89b8b6e444e8470ad19e268798a706b0ec35af,1,,0.103145,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2815.4
01 (3)_1.jpg,1512x2016,e6bbf88160caca87c911a4adbc68750f24f7ea53d56c7ff08bef30def98cb86e,0,,0.001019,0.0072,box,BP03_12MP_NL_JPEG.mat,1,2643.2
01 (3)_2.jpg,1512x2016,cf6c8bc4de163ea0d90d045a2432f341ca05de8c92e9a8cbc062824df1b14b40,0,,0.001314,0.0072,box,BP08_12MP_NL_JPEG.mat,2,2908.6
01 (3)_3.jpg,1512x2016,eacf0c9713d495090532f6b322289e83f35479048e43013d4ef313b1263d7586,0,,0.001258,0.0072,box,BP05_12MP_SLM_HEIC.mat,3,2762.2
01 (3)_4.jpg,2016x1512,56872b036b9c564fc06a4155e82ae035b106d492306a6678ee998bf06a4987e0,1,,0.046325,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2711.0
01 (3)_5.jpg,2016x1512,dee9c8f42e13471dd7ef93ea4724744a755fe0fd916b27147069328dc16dc755,1,,0.005498,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2688.7
01 (3)_6.jpg,2016x1512,c30fe4f9689090fed11b998dcce657fd4deb2dd49e7c36d4d2c3d3fe8a2fc7fd,1,,0.033147,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2986.5
01 (4)_1.jpg,1512x2016,98b1766539ac0afc712e6400440ae2a4b9ad11a27d54114b7359f6096924b9ea,0,,0.001311,0.0072,box,BP06_12MP_SLM_HEIC.mat,3,2730.3
01 (4)_2.jpg,1512x2016,d453b8f4d0141efac418a2bbb52aef4bc564d316006992390ee6dfd7710a44ee,0,,0.001725,0.0072,box,BP06_12MP_SLM_HEIC.mat,0,3041.9
01 (4)_3.jpg,1512x2016,1cb02d400e64491d1e797fb49d5b6e8e0ffe85615b17f81e6e70a2b85d16b34f,0,,0.001189,0.0072,box,BP03_12MP_NL_JPEG.mat,1,3354.5
01 (4)_4.jpg,2016x1512,3e40f1087410d9f90b6184fe93a3f69da09d70efebc3e96d4f65b2811eb56654,1,,0.113874,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2819.9
01 (4)_5.jpg,2016x1512,c41f8cdecd76aeeb6fa94679ff25588baef00db912ae4b72a3a145b823c798cb,1,,0.005515,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2603.2
01 (4)_6.jpg,2016x1512,441491b8e2fdccdb53272b694abd9fcdc5f545e95c4a13c8b0ee34c7b5aedf33,1,,0.064297,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2887.7
01 (5)_1.jpg,1512x2016,142451e0dedd0597a8ce3b8344e3e0f75c53d81bb741e9254baec047f8b5d2bc,0,,0.001635,0.0072,box,BP04_12MP_NL_JPEG.mat,3,2814.4
01 (5)_2.jpg,1512x2016,00d70d34b07193f062bb3bf2b94d97e83a9bb73b8a5889bb0c5bf5476e17f79d,0,,0.001885,0.0072,box,BP06_12MP_NL_HEIC.mat,3,2653.3
01 (5)_3.jpg,1512x2016,a325f0db0371feb866d0f66419672c95923e1d50e9c0525700cbf05f5ad90516,0,,0.002694,0.0072,box,BP03_12MP_NL_JPEG.mat,2,2859.5
01 (5)_4.jpg,2016x1512,e6435859f3867af8ba93980975bd0ff5d676fc140252e693a7e1bfdcd6e3ac41,1,,0.047573,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2777.0
01 (5)_5.jpg,2016x1512,23389eda5b2f13d57c643987259dc3a0cc46fabf612d2c9c32c4e336e105e408,1,,0.013899,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2640.8
01 (5)_6.jpg,2016x1512,c56fccb83870b31dfc08613bd6a4bb75696986a0d1af676a2542258c0798ba89,1,,0.049257,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2879.7
01 (6)_1.jpg,1512x2016,28d9fb17a8b4db7fdd3c94635d0ece8771c4f3ab2372c9341d10e9bad835c729,0,,0.001727,0.0072,box,BP08_12MP_NL_JPEG.mat,0,2816.8
01 (6)_2.jpg,1512x2016,3682d980c29265d6f9ec2a797f4efd59dd72c9388dd5ddc1d7a81aa6ac68031e,0,,0.001906,0.0072,box,BP05_12MP_SLM_HEIC.mat,1,2707.7
01 (6)_3.jpg,1512x2016,960b71d4015e530507eb622411e89d1988507ff7004d3e84fef03fef12caee66,0,,0.001047,0.0072,box,BP08_12MP_NL_JPEG.mat,2,2933.4
01 (6)_4.jpg,2016x1512,c5e91151a3c80bb07a7bf9131f09f6da9c1afd3b690a11a962ddbe61e4beffeb,1,,0.085669,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2798.4
01 (6)_5.jpg,2016x1512,1ed88ccf36ef0aafc8bd83cda0c854162e64c2ae79600e4d201a7fd80861ca27,1,,0.004481,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2779.1
01 (6)_6.jpg,2016x1512,321e8911835748c33103503862e36cbd857cfebbb5820b8ff1125f36701a5230,1,,0.068678,0.0072,box,BP04_12MP_NL_JPEG.mat,0,2854.0
